month,new_packages,outlier
2018-01-01,2713,0
2018-02-01,2593,0
2018-03-01,3083,0
2018-04-01,3343,0
2018-05-01,3006,0
2018-06-01,2880,0
2018-07-01,4092,0
2018-08-01,3196,0
2018-09-01,2973,0
2018-10-01,3440,0
2018-11-01,3333,0
2018-12-01,3003,0
2019-01-01,3369,0
2019-02-01,3473,0
2019-03-01,4020,0
2019-04-01,3745,0
2019-05-01,3931,0
2019-06-01,3696,0
2019-07-01,4400,0
2019-08-01,4026,0
2019-09-01,3926,0
2019-10-01,4215,0
2019-11-01,4380,0
2019-12-01,4170,0
2020-01-01,4833,0
2020-02-01,4738,0
2020-03-01,5166,0
2020-04-01,5842,0
2020-05-01,6401,0
2020-06-01,6545,0
2020-07-01,10809,1
2020-08-01,6381,0
2020-09-01,6354,0
2020-10-01,6348,0
2020-11-01,6550,0
2020-12-01,6835,0
2021-01-01,7105,0
2021-02-01,12846,1
2021-03-01,20409,1
2021-04-01,7543,0
2021-05-01,8334,0
2021-06-01,6866,0
2021-07-01,7745,0
2021-08-01,7072,0
2021-09-01,6710,0
2021-10-01,7106,0
2021-11-01,7416,0
2021-12-01,8125,0
2022-01-01,8509,0
2022-02-01,9593,0
2022-03-01,9653,0
2022-04-01,8969,0
2022-05-01,7497,0
2022-06-01,7371,0
2022-07-01,7204,0
2022-08-01,10714,1
2022-09-01,7524,0
2022-10-01,9483,0
2022-11-01,9376,0
2022-12-01,7597,0
2023-01-01,8961,0
2023-02-01,23704,1
2023-03-01,9300,0
2023-04-01,8713,0
2023-05-01,8865,0
2023-06-01,8113,0
2023-07-01,8058,0
2023-08-01,8052,0
2023-09-01,7596,0
2023-10-01,7694,0
2023-11-01,7782,0
2023-12-01,7190,0
2024-01-01,8245,0
2024-02-01,8463,0
2024-03-01,9276,0
2024-04-01,8358,0
2024-05-01,11706,0
2024-06-01,8072,0
2024-07-01,8848,0
2024-08-01,8179,0
2024-09-01,8169,0
2024-10-01,9371,0
2024-11-01,9660,0
2024-12-01,8616,0
2025-01-01,9410,0
2025-02-01,8753,0
2025-03-01,13253,0
2025-04-01,12140,0
2025-05-01,11852,0
2025-06-01,12679,0
2025-07-01,12258,0
2025-08-01,11288,0
2025-09-01,11878,0
2025-10-01,12028,0
2025-11-01,12972,0
2025-12-01,13987,0
2026-01-01,16391,0
2026-02-01,20055,0
2026-03-01,25651,0
2026-04-01,24996,0
